City,Area,Pincode,District,State,
Hindupur,Dharmavaram Bazar,515671,Ananthapur,Andhra Pradesh,
Hindupur,Dodderi,515321,Ananthapur,Andhra Pradesh,
Hindupur,Duddebanda,515164,Ananthapur,Andhra Pradesh,
Hindupur,East Nadimpalle,515581,Ananthapur,Andhra Pradesh,
Hindupur,Elukuntla,515159,Ananthapur,Andhra Pradesh,
Hindupur,Gangampalli,515231,Ananthapur,Andhra Pradesh,
Hindupur,Gownipalli,515561,Ananthapur,Andhra Pradesh,
Hindupur,Gunemorubagal,515286,Ananthapur,Andhra Pradesh,
Hindupur,Hindupur Extns,515201,Ananthapur,Andhra Pradesh,
Hindupur,Jagarajupalli,515133,Ananthapur,Andhra Pradesh,
Kurnool,A.Gokulapadu,518467,Kurnool,Andhra Pradesh,
Kurnool,Abdullapuram,518533,Kurnool,Andhra Pradesh,
Kurnool,Adoni Arts College,518302,Kurnool,Andhra Pradesh,
Kurnool,Adoni,518301,Kurnool,Andhra Pradesh,
Kurnool,Agaveli,518225,Kurnool,Andhra Pradesh,
Kurnool,Alaganur,518405,Kurnool,Andhra Pradesh,
Kurnool,Alardinne,518465,Kurnool,Andhra Pradesh,
Kurnool,Alavala,518463,Kurnool,Andhra Pradesh,
Kurnool,Alebad,518220,Kurnool,Andhra Pradesh,
Kurnool,Allur,518432,Kurnool,Andhra Pradesh,
Kurnool,Alur (Kurnool),518395,Kurnool,Andhra Pradesh,
Kurnool,Amakathadu,518216,Kurnool,Andhra Pradesh,
Kurnool,Aminabad,518390,Kurnool,Andhra Pradesh,
Kurnool,Arlabanda,518313,Kurnool,Andhra Pradesh,
Kurnool,Ashoknagar (Kurnool),518005,Kurnool,Andhra Pradesh,
Kurnool,Aspari,518347,Kurnool,Andhra Pradesh,
Kurnool,Atmakur (Kurnool),518422,Kurnool,Andhra Pradesh,
Kurnool,B.Agraharam,518350,Kurnool,Andhra Pradesh,
Kurnool,B.Ramadurgam,518222,Kurnool,Andhra Pradesh,
Kurnool,B.Tandrapadu,518007,Kurnool,Andhra Pradesh,
Kurnool,Badinehal,518344,Kurnool,Andhra Pradesh,
Kurnool,Balaji Nagar,518006,Kurnool,Andhra Pradesh,
Kurnool,Balapalapalli,518598,Kurnool,Andhra Pradesh,
Kurnool,Banavasi,518323,Kurnool,Andhra Pradesh,
Kurnool,Bannuru,518401,Kurnool,Andhra Pradesh,
Kurnool,Bantanahalu,518396,Kurnool,Andhra Pradesh,
Kurnool,Bapuram,518348,Kurnool,Andhra Pradesh,
Kurnool,Bastipadu,518218,Kurnool,Andhra Pradesh,
Kurnool,Belagal,518462,Kurnool,Andhra Pradesh,
Kurnool,Bethamcherla,518599,Kurnool,Andhra Pradesh,
Kurnool,Bhagya Nagar kurnool,518004,Kurnool,Andhra Pradesh,
Kurnool,Bijina Vemula,518411,Kurnool,Andhra Pradesh,
